,rc_tuple_animal_id,rc_date,rc_winner,rc_loser,rc_winner_no_ties,rc_loser_no_ties,rc_different_result_as_previous,rc_number_of_switches,processed_cage_number,strain,rc_averaged_winner,rc_averaged_loser,rc_averaged_winner_win_count,rc_averaged_loser_win_count,rc_tie_count,rc_all_match_count_including_ties,rc_averaged_winner_win_count_minus_loser_win_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio
0,"('1.1', '1.2')",2022-10-03,"['1.1', '1.2', '1.2', '1.1', 'tie', '1.1', '1.1', 'tie', '1.1', '1.2', 'tie', '1.2', '1.1', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.1', '1.2', 'tie', '1.2', '1.2', 'tie', '1.2', '1.1', 'tie', '1.1', '1.2', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1']","[True, False, True, False, False, False, True, False, True, True, False, False, False, False]",5,1,C57,1.2,1.1,9,6,4,19,3,0.6,0.47368421052631576,False,0.21052631578947367
1,"('1.1', '1.2')",2022-10-04,"['1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0,1,C57,1.1,1.2,18,0,1,19,18,1.0,0.9473684210526315,False,0.05263157894736842
2,"('1.1', '1.3')",2022-10-03,"['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', 'tie', '1.1', '1.3', '1.1', 'tie', '1.1', 'tie', '1.3', '1.3', '1.3', '1.3', 'tie', 'tie']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', 'tie', '1.3', '1.1', '1.3', 'tie', '1.3', 'tie', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie']","['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1']","[False, False, False, True, False, False, True, True, False, True, False, False, False]",4,1,C57,1.3,1.1,9,5,5,19,4,0.6428571428571429,0.47368421052631576,False,0.2631578947368421
3,"('1.1', '1.3')",2022-10-04,"['1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.1', 'tie', 'tie', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', 'tie', '1.3']","['1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.3', 'tie', 'tie', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', 'tie', '1.1']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1']","[False, False, False, False, False, True, False, True, True, False, True, True, False, True]",6,1,C57,1.3,1.1,9,6,4,19,3,0.6,0.47368421052631576,False,0.21052631578947367
4,"('1.1', '1.4')",2022-10-03,"['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', 'tie', '1.4', '1.1', '1.1', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', 'tie', '1.1', '1.4', '1.4', '1.1', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4']","[False, False, False, False, False, False, True, False, True, False, True, True, False, True, False, True, True]",7,1,C57,1.4,1.1,12,6,1,19,6,0.6666666666666666,0.631578947368421,False,0.05263157894736842
5,"('1.1', '1.4')",2022-10-04,"['1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.4', 'tie', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', 'tie', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True]",3,1,C57,1.1,1.4,14,2,3,19,12,0.875,0.7368421052631579,False,0.15789473684210525
6,"('1.2', '1.3')",2022-10-03,"['1.3', '1.3', '1.2', 'tie', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2']","['1.2', '1.2', '1.3', 'tie', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3']","['1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2']","['1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3']","[False, True, False, False, True, False, False, False, False, False, False, False, False, True, False]",3,1,C57,1.3,1.2,11,5,3,19,6,0.6875,0.5789473684210527,False,0.15789473684210525
7,"('1.2', '1.3')",2022-10-04,"['1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', '1.3', '1.2', '1.2', 'tie', 'tie', 'tie', '1.2', '1.3']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', '1.2', '1.3', '1.3', 'tie', 'tie', 'tie', '1.3', '1.2']","['1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3']","['1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2']","[False, False, False, False, True, False, True, False, False, False, True, False, False, True]",4,1,C57,1.3,1.2,10,5,4,19,5,0.6666666666666666,0.5263157894736842,False,0.21052631578947367
8,"('1.2', '1.4')",2022-10-03,"['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4']","[True, False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",4,1,C57,1.2,1.4,16,3,0,19,13,0.8421052631578947,0.8421052631578947,False,0.0
9,"('1.2', '1.4')",2022-10-04,"['1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']","['1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",2,1,C57,1.2,1.4,18,1,0,19,17,0.9473684210526315,0.9473684210526315,False,0.0
10,"('1.3', '1.4')",2022-10-03,"['1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', 'tie', '1.3', '1.4', '1.4', '1.3', 'tie', '1.4', '1.3', '1.3', '1.4', 'tie']","['1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', 'tie', '1.4', '1.3', '1.3', '1.4', 'tie', '1.3', '1.4', '1.4', '1.3', 'tie']","['1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4']","['1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3']","[True, True, True, False, True, True, True, False, True, False, True, True, True, False, True]",11,1,C57,1.3,1.4,8,8,3,19,0,0.5,0.42105263157894735,True,0.15789473684210525
11,"('1.3', '1.4')",2022-10-04,"['1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', 'tie', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3']","['1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', 'tie', '1.4', '1.4', '1.4', 'tie', 'tie', '1.4']","['1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4']","[False, True, False, False, False, True, False, False, True, False, True, False, False, False, False]",4,1,C57,1.3,1.4,10,6,3,19,4,0.625,0.5263157894736842,False,0.15789473684210525
12,"('2.1', '2.2')",2022-10-03,"['2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.1', '2.1', '2.2']","['2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.2', '2.2', '2.1']","['2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.1', '2.1', '2.2']","['2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.2', '2.2', '2.1']","[True, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, True]",6,2,C57,2.1,2.2,13,5,1,19,8,0.7222222222222222,0.6842105263157895,False,0.05263157894736842
13,"('2.1', '2.2')",2022-10-04,"['2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2']","['2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0,2,C57,2.2,2.1,17,0,2,19,17,1.0,0.8947368421052632,False,0.10526315789473684
14,"('2.1', '2.3')",2022-10-03,"['2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","[False, False, True, True, False, False, True, False, False, False, False, False, True, False, False, False, False, False]",4,2,C57,2.1,2.3,12,7,0,19,5,0.631578947368421,0.631578947368421,False,0.0
15,"('2.1', '2.3')",2022-10-04,"['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', 'tie', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', 'tie']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', 'tie', '2.3', '2.3', '2.3', 'tie', '2.3', '2.3', '2.3', '2.3', 'tie']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]",2,2,C57,2.1,2.3,15,1,3,19,14,0.9375,0.7894736842105263,False,0.15789473684210525
16,"('2.1', '2.4')",2022-10-03,"['2.4', 'tie', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', 'tie', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.1', 'tie', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4']","['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4']","[True, True, False, False, False, False, True, False, False, False, True, True, False, False, False, False]",5,2,C57,2.1,2.4,10,7,2,19,3,0.5882352941176471,0.5263157894736842,True,0.10526315789473684
17,"('2.1', '2.4')",2022-10-04,"['2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.4']","['2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', 'tie', '2.4', '2.4', '2.4', '2.4', '2.1']","['2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4']","['2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1']","[False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, True]",5,2,C57,2.1,2.4,15,3,1,19,12,0.8333333333333334,0.7894736842105263,False,0.05263157894736842
18,"('2.2', '2.3')",2022-10-03,"['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2']","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2']","[False, False, False, False, False, False, True, False, False, True, False, True, True, True, False, False, False, False]",5,2,C57,2.2,2.3,10,9,0,19,1,0.5263157894736842,0.5263157894736842,True,0.0
19,"('2.2', '2.3')",2022-10-04,"['2.2', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', 'tie', '2.3', '2.2', '2.3', 'tie', '2.2', '2.3', '2.2', '2.2', '2.2']","['2.3', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', 'tie', '2.2', '2.3', '2.2', 'tie', '2.3', '2.2', '2.3', '2.3', '2.3']","['2.2', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2']","['2.3', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3']","[True, False, False, False, True, True, True, False, True, True, True, True, True, True, False, False]",10,2,C57,2.2,2.3,9,8,2,19,1,0.5294117647058824,0.47368421052631576,True,0.10526315789473684
20,"('2.2', '2.4')",2022-10-03,"['2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', 'tie', '2.4', 'tie', '2.4', '2.4', '2.4', '2.2', '2.4']","['2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', 'tie', '2.2', 'tie', '2.2', '2.2', '2.2', '2.4', '2.2']","['2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4']","['2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2']","[False, True, False, False, False, False, True, True, False, False, True, False, False, False, True, True]",6,2,C57,2.2,2.4,9,8,2,19,1,0.5294117647058824,0.47368421052631576,True,0.10526315789473684
21,"('2.2', '2.4')",2022-10-04,"['2.4', '2.4', '2.4', '2.2', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.4', 'tie', 'tie', '2.4', '2.2', '2.2', '2.4', '2.4', '2.4']","['2.2', '2.2', '2.2', '2.4', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.2', 'tie', 'tie', '2.2', '2.4', '2.4', '2.2', '2.2', '2.2']","['2.4', '2.4', '2.4', '2.2', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.2', '2.2', '2.4', '2.4', '2.4']","['2.2', '2.2', '2.2', '2.4', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.4', '2.4', '2.2', '2.2', '2.2']","[False, False, True, True, True, True, False, False, True, True, False, True, False, True, False, False]",8,2,C57,2.4,2.2,12,5,2,19,7,0.7058823529411765,0.631578947368421,False,0.10526315789473684
22,"('2.3', '2.4')",2022-10-03,"['2.4', '2.4', '2.4', '2.3', '2.4', '2.3', '2.3', '2.4', '2.4', '2.4', '2.4', '2.4', '2.3', '2.3', '2.4', '2.4', '2.4', '2.4', '2.3']","['2.3', '2.3', '2.3', '2.4', '2.3', '2.4', '2.4', '2.3', '2.3', '2.3', '2.3', '2.3', '2.4', '2.4', '2.3', '2.3', '2.3', '2.3', '2.4']","['2.4', '2.4', '2.4', '2.3', '2.4', '2.3', '2.3', '2.4', '2.4', '2.4', '2.4', '2.4', '2.3', '2.3', '2.4', '2.4', '2.4', '2.4', '2.3']","['2.3', '2.3', '2.3', '2.4', '2.3', '2.4', '2.4', '2.3', '2.3', '2.3', '2.3', '2.3', '2.4', '2.4', '2.3', '2.3', '2.3', '2.3', '2.4']","[False, False, True, True, True, False, True, False, False, False, False, True, False, True, False, False, False, True]",7,2,C57,2.4,2.3,13,6,0,19,7,0.6842105263157895,0.6842105263157895,False,0.0
23,"('2.3', '2.4')",2022-10-04,"['2.4', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.4', '2.3', '2.3', '2.3', '2.3', 'tie']","['2.3', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.3', '2.4', '2.4', '2.4', '2.4', 'tie']","['2.4', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.4', '2.3', '2.3', '2.3', '2.3']","['2.3', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.3', '2.4', '2.4', '2.4', '2.4']","[True, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",3,2,C57,2.3,2.4,16,2,1,19,14,0.8888888888888888,0.8421052631578947,False,0.05263157894736842
