,rc_tuple_animal_id,rc_winner,rc_loser,rc_average_number_of_switches,rc_winner_no_ties,rc_loser_no_ties,rc_averaged_winner,rc_averaged_loser,rc_averaged_winner_win_count,rc_averaged_loser_win_count,rc_tie_count,rc_all_match_count_including_ties,rc_averaged_winner_win_count_minus_loser_win_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio,processed_cage_number
0,"('1.1', '1.2')","['1.1', '1.2', '1.2', '1.1', 'tie', '1.1', '1.1', 'tie', '1.1', '1.2', 'tie', '1.2', '1.1', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.1', '1.1', '1.2', 'tie', '1.2', '1.2', 'tie', '1.2', '1.1', 'tie', '1.1', '1.2', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']",2.5,"['1.1', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1']","['1.2', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.1', '1.1', '1.2', '1.1', '1.1', '1.1', '1.1', '1.1', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']",1.1,1.2,24,9,5,38,15,0.7272727272727273,0.631578947368421,False,0.13157894736842105,1
1,"('1.1', '1.3')","['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', 'tie', '1.1', '1.3', '1.1', 'tie', '1.1', 'tie', '1.3', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3', '1.3', 'tie', '1.3', '1.3', '1.3', '1.3', '1.1', 'tie', 'tie', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', 'tie', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', 'tie', '1.3', '1.1', '1.3', 'tie', '1.3', 'tie', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.3', 'tie', 'tie', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', 'tie', '1.1']",5.0,"['1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3', '1.1', '1.1', '1.3']","['1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1', '1.3', '1.3', '1.1']",1.3,1.1,18,11,9,38,7,0.6206896551724138,0.47368421052631576,False,0.23684210526315788,1
2,"('1.1', '1.4')","['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', 'tie', '1.4', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', 'tie', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', 'tie', 'tie', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', 'tie', '1.1', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', 'tie', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', 'tie', 'tie', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']",5.0,"['1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.1', '1.1', '1.1', '1.4']","['1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.1', '1.4', '1.4', '1.1', '1.1', '1.4', '1.1', '1.1', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.1', '1.4', '1.4', '1.4', '1.1']",1.1,1.4,20,14,4,38,6,0.5882352941176471,0.5263157894736842,True,0.10526315789473684,1
3,"('1.2', '1.3')","['1.3', '1.3', '1.2', 'tie', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', 'tie', '1.3', '1.2', '1.2', 'tie', 'tie', 'tie', '1.2', '1.3']","['1.2', '1.2', '1.3', 'tie', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', 'tie', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', 'tie', '1.2', '1.3', '1.3', 'tie', 'tie', 'tie', '1.3', '1.2']",3.5,"['1.3', '1.3', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.3', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.3']","['1.2', '1.2', '1.3', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.2', '1.2', '1.2', '1.2', '1.3', '1.3', '1.3', '1.2']",1.3,1.2,21,10,7,38,11,0.6774193548387096,0.5526315789473685,False,0.18421052631578946,1
4,"('1.2', '1.4')","['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']",3.0,"['1.2', '1.4', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.4', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2', '1.2']","['1.4', '1.2', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.2', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4']",1.2,1.4,34,4,0,38,30,0.8947368421052632,0.8947368421052632,False,0.0,1
5,"('1.3', '1.4')","['1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', 'tie', '1.3', '1.4', '1.4', '1.3', 'tie', '1.4', '1.3', '1.3', '1.4', 'tie', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', 'tie', '1.3', '1.3', '1.3', 'tie', 'tie', '1.3']","['1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', 'tie', '1.4', '1.3', '1.3', '1.4', 'tie', '1.3', '1.4', '1.4', '1.3', 'tie', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', 'tie', '1.4', '1.4', '1.4', 'tie', 'tie', '1.4']",7.5,"['1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3']","['1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4']",1.3,1.4,18,14,6,38,4,0.5625,0.47368421052631576,True,0.15789473684210525,1
6,"('2.1', '2.2')","['2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2']","['2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",3.0,"['2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2']","['2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']",2.2,2.1,22,13,3,38,9,0.6285714285714286,0.5789473684210527,False,0.07894736842105263,2
7,"('2.1', '2.3')","['2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', 'tie', '2.1', '2.1', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', 'tie']","['2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', 'tie', '2.3', '2.3', '2.3', 'tie', '2.3', '2.3', '2.3', '2.3', 'tie']",3.0,"['2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3']",2.1,2.3,27,8,3,38,19,0.7714285714285715,0.7105263157894737,False,0.07894736842105263,2
8,"('2.1', '2.4')","['2.4', 'tie', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', 'tie', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', 'tie', '2.1', '2.1', '2.1', '2.1', '2.4']","['2.1', 'tie', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', 'tie', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', 'tie', '2.4', '2.4', '2.4', '2.4', '2.1']",5.0,"['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4']","['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1']",2.1,2.4,25,10,3,38,15,0.7142857142857143,0.6578947368421053,False,0.07894736842105263,2
9,"('2.2', '2.3')","['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', 'tie', '2.3', '2.2', '2.3', 'tie', '2.2', '2.3', '2.2', '2.2', '2.2']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', 'tie', '2.2', '2.3', '2.2', 'tie', '2.3', '2.2', '2.3', '2.3', '2.3']",7.5,"['2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.3', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2']","['2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.2', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3']",2.2,2.3,19,17,2,38,2,0.5277777777777778,0.5,True,0.05263157894736842,2
10,"('2.2', '2.4')","['2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', 'tie', '2.4', 'tie', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.4', 'tie', 'tie', '2.4', '2.2', '2.2', '2.4', '2.4', '2.4']","['2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', 'tie', '2.2', 'tie', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.2', 'tie', 'tie', '2.2', '2.4', '2.4', '2.2', '2.2', '2.2']",7.0,"['2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.2', '2.2', '2.4', '2.4', '2.4']","['2.2', '2.2', '2.4', '2.4', '2.4', '2.4', '2.4', '2.2', '2.4', '2.4', '2.4', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.2', '2.2', '2.4', '2.2', '2.4', '2.2', '2.2', '2.2', '2.4', '2.2', '2.2', '2.4', '2.4', '2.2', '2.2', '2.2']",2.4,2.2,20,14,4,38,6,0.5882352941176471,0.5263157894736842,True,0.10526315789473684,2
