,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,tuple_animal_id,strain
0,2022-10-03,1,1,1.1 vs 1.2,Jocelyn,1.1,1.2,1.2,1.1,tie,1.1,1.1,tie,1.1,1.2,tie,1.2,1.1,tie,1.2,1.2,1.2,1.2,1.2,"('1.1', '1.2')",C57
1,2022-10-03,1,2,1.3 vs 1.4,Jocelyn,1.3,1.4,1.3,1.4,1.4,1.3,1.4,1.3,tie,1.3,1.4,1.4,1.3,tie,1.4,1.3,1.3,1.4,tie,"('1.3', '1.4')",C57
2,2022-10-03,2,3,2.1 vs 2.2,Jocelyn,2.2,2.1,2.1,2.1,2.1,2.1,2.1,tie,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.2,2.1,2.1,2.2,"('2.1', '2.2')",C57
3,2022-10-03,2,4,2.3 vs 2.4,Jocelyn,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.3,"('2.3', '2.4')",C57
4,2022-10-03,3,1,3.1 vs 3.2,Meghan,3.2,3.1,3.1,3.2,3.2,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,"('3.1', '3.2')",C57
5,2022-10-03,3,2,3.3 vs 3.4,Naeliz,3.3,3.4,3.4,tie,3.4,3.4,3.4,3.3,3.3,tie,3.3,3.3,3.4,3.3,3.3,tie,3.3,3.3,3.3,"('3.3', '3.4')",C57
6,2022-10-03,4,3,4.1 vs 4.2,Ezra,4.1,4.1,4.2,4.2,4.1,4.1,tie,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,"('4.1', '4.2')",CD1
7,2022-10-03,4,4,4.3 vs 4.4,Erika,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.3,4.3,4.4,4.4,4.3,4.3,"('4.3', '4.4')",CD1
8,2022-10-03,5,1,5.1 vs 5.2,Albert,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.1,5.1,5.1,5.1,5.1,5.1,"('5.1', '5.2')",CD1
9,2022-10-03,5,2,5.3 vs 5.4,Meghan,5.4,5.4,5.3,5.3,5.3,tie,5.3,tie,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,"('5.3', '5.4')",CD1
10,2022-10-03,6,3,6.1 vs 6.2,Naeliz,6.2,6.2,6.1,6.2,6.1,6.2,6.1,6.2,6.2,6.2,6.1,tie,tie,6.1,6.1,tie,6.2,6.1,6.2,"('6.1', '6.2')",CD1
11,2022-10-03,6,4,6.3 vs 6.4,Leo,6.3,6.4,6.4,6.4,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.3,6.3,6.4,6.3,6.4,6.3,6.3,6.3,"('6.3', '6.4')",CD1
12,2022-10-03,2,1,2.2 vs 2.4,Ezra,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2.4,2.2,2.2,2.2,tie,2.4,tie,2.4,2.4,2.4,2.2,2.4,"('2.2', '2.4')",C57
13,2022-10-03,2,2,2.1 vs 2.3,Erika,2.1,2.1,2.1,2.3,2.1,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.1,2.1,2.1,"('2.1', '2.3')",C57
14,2022-10-03,1,3,1.2 vs 1.4,Leo,1.2,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.2,1.2,"('1.2', '1.4')",C57
15,2022-10-03,1,4,1.1 vs 1.3,Meghan,1.3,1.3,1.3,1.3,1.1,1.1,tie,1.1,1.3,1.1,tie,1.1,tie,1.3,1.3,1.3,1.3,tie,tie,"('1.1', '1.3')",C57
16,2022-10-03,4,1,4.2 vs 4.4,Jocelyn,4.4,4.4,4.4,4.4,4.4,4.4,4.4,tie,4.4,4.2,4.4,4.4,4.4,4.2,tie,4.2,4.2,4.2,4.2,"('4.2', '4.4')",CD1
17,2022-10-03,4,2,4.1 vs 4.3,Albert,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.3,4.1,4.3,4.3,4.3,4.1,4.3,4.1,4.1,4.1,4.1,"('4.1', '4.3')",CD1
18,2022-10-03,3,3,3.2 vs 3.4,Naeliz,3.4,tie,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.4,3.4,3.2,3.2,"('3.2', '3.4')",C57
19,2022-10-03,3,4,3.1 vs 3.3,Erika,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.3,tie,3.3,3.1,3.3,3.3,3.3,3.3,3.1,3.3,3.1,"('3.1', '3.3')",C57
20,2022-10-03,6,1,6.2 vs 6.4,Ezra,6.4,6.4,6.2,6.2,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,"('6.2', '6.4')",CD1
21,2022-10-03,6,2,6.1 vs 6.3,Leo,6.1,6.3,6.1,6.1,6.1,6.1,6.3,6.1,6.3,6.3,6.3,6.3,6.3,6.1,6.3,6.3,6.3,6.3,6.3,"('6.1', '6.3')",CD1
22,2022-10-03,5,3,5.2 vs 5.4,Erika,5.2,5.4,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.2,5.2,5.4,5.2,5.2,5.2,5.2,5.2,5.2,"('5.2', '5.4')",CD1
23,2022-10-03,5,4,5.1 vs 5.3,Ezra,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5.3,5.3,5.3,5.3,5.3,"('5.1', '5.3')",CD1
24,2022-10-03,1,1,1.2 vs 1.3,Albert,1.3,1.3,1.2,tie ,1.2,1.2,1.3,1.3,1.3,tie,tie,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,"('1.2', '1.3')",C57
25,2022-10-03,1,2,1.1 vs 1.4,Naeliz,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.1,1.1,1.4,1.4,1.1,1.4,tie,1.4,1.1,1.1,1.4,1.1,"('1.1', '1.4')",C57
26,2022-10-03,2,3,2.2 vs 2.3,Meghan,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.3,2.3,"('2.2', '2.3')",C57
27,2022-10-03,2,4,2.1 vs 2.4,Leo,2.4,tie,2.1,2.4,2.4,2.4,2.4,2.4,tie,2.1,2.1,2.1,2.1,2.4,2.1,2.1,2.1,2.1,2.1,"('2.1', '2.4')",C57
28,2022-10-03,3,1,3.2 vs 3.3,Erika,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,"('3.2', '3.3')",C57
29,2022-10-03,3,2,3.1 vs 3.4,Ezra,3.4,3.4,3.1,3.4,3.1,3.4,3.4,3.4,3.1,3.4,3.4,3.1,3.4,3.1,3.4,tie,3.4,3.4,3.4,"('3.1', '3.4')",C57
30,2022-10-03,4,3,4.2 vs 4.3,Albert,4.2,4.3,4.3,4.2,4.2,4.3,4.2,4.3,4.2,4.3,4.2,4.3,4.3,4.2,4.2,4.3,4.2,4.3,4.3,"('4.2', '4.3')",CD1
31,2022-10-03,4,4,4.1 vs 4.4,Naeliz,4.1,4.1,4.1,tie,4.4,4.4,tie,4.1,4.1,4.4,4.4,tie,4.1,4.1,tie,4.4,tie,4.4,4.4,"('4.1', '4.4')",CD1
32,2022-10-03,5,1,5.2 vs 5.3,Meghan,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.2,5.2,5.2,5.2,tie,5.2,5.2,5.2,5.3,"('5.2', '5.3')",CD1
33,2022-10-03,5,2,5.1 vs 5.4,Leo,5.4,tie,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,"('5.1', '5.4')",CD1
34,2022-10-03,6,3,6.2 vs 6.3,Albert,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,"('6.2', '6.3')",CD1
35,2022-10-03,6,4,6.1 vs 6.4,Jocelyn,6.4,6.1,6.1,6.1,6.1,6.4,6.1,6.1,6.4,tie,6.4,6.4,6.4,6.4,6.1,6.1,6.1,6.4,6.4,"('6.1', '6.4')",CD1
36,2022-10-04,6,1,6.1 vs 6.4,Aidan,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.1,tie,6.1,6.1,6.1,"('6.1', '6.4')",CD1
37,2022-10-04,6,2,6.2 vs 6.3,Jocelyn,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,"('6.2', '6.3')",CD1
38,2022-10-04,5,3,5.1vs5.4,Erika,5.1,5.1,5.1,5.1,5.4,5.4,5.1,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,"('5.1', '5.4')",CD1
39,2022-10-04,5,4,5.2vs5.3,Ezra,5.2,5.2,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,tie,tie,5.2,5.2,5.2,5.2,5.2,"('5.2', '5.3')",CD1
40,2022-10-04,4,1,4.1vs4.4,Naeliz,4.4,4.1,4.1,tie,tie,4.4,4.4,tie,4.4,4.4,4.4,4.4,4.4,4.4,4.1,4.1,4.4,4.4,4.4,"('4.1', '4.4')",CD1
41,2022-10-04,4,2,4.2vs4.3,Leo,4.2,4.3,4.3,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.2,4.3,4.2,4.2,4.2,4.2,4.2,4.2,"('4.2', '4.3')",CD1
42,2022-10-04,3,3,3.1vs3.4,Jocelyn,3.4,3.1,3.4,3.4,3.1,3.4,3.4,3.4,3.4,3.4,3.1,3.4,3.4,3.1,3.4,3.1,3.4,3.1,3.4,"('3.1', '3.4')",C57
43,2022-10-04,3,4,3.2vs3.3,Aidan,3.3,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.3,tie,3.2,3.2,3.2,3.2,tie,3.2,3.3,3.2,3.3,"('3.2', '3.3')",C57
44,2022-10-04,2,1,2.1vs2.4,Jocelyn,2.1,2.1,2.1,2.1,2.1,2.4,2.1,2.1,2.1,2.1,2.1,2.4,2.1,tie,2.1,2.1,2.1,2.1,2.4,"('2.1', '2.4')",C57
45,2022-10-04,2,2,2.2vs2.3,Erika,2.2,2.3,2.3,2.3,2.3,2.2,2.3,2.2,2.2,tie,2.3,2.2,2.3,tie,2.2,2.3,2.2,2.2,2.2,"('2.2', '2.3')",C57
46,2022-10-04,1,3,1.1vs1.4,Ezra,1.1,1.1,tie,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,tie,tie,1.1,1.4,1.1,1.1,1.1,1.4,"('1.1', '1.4')",C57
47,2022-10-04,1,4,1.2vs1.3,Naeliz,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.3,tie,1.3,1.2,1.2,tie,tie,tie,1.2,1.3,"('1.2', '1.3')",C57
48,2022-10-04,5,1,5.1vs5.3,Leo,5.3,tie,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,"('5.1', '5.3')",CD1
49,2022-10-04,5,2,5.2vs5.4,Albert,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,"('5.2', '5.4')",CD1
50,2022-10-04,6,3,6.1vs6.3,Aidan,6.3,6.3,6.3,6.3,6.1,6.1,6.1,tie,6.3,6.3,6.3,6.1,6.3,6.3,tie,6.3,6.3,6.3,6.3,"('6.1', '6.3')",CD1
51,2022-10-04,6,4,6.2vs6.4,Jocelyn,6.4,6.4,6.2,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,"('6.2', '6.4')",CD1
52,2022-10-04,3,1,3.1vs3.3,Jocelyn,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.3,3.3,3.3,3.3,3.1,3.3,3.3,3.1,3.3,3.1,3.3,3.3,"('3.1', '3.3')",C57
53,2022-10-04,3,2,3.2vs3.4,Aidan,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,3.4,3.2,3.2,3.4,3.4,3.4,3.4,3.2,tie,"('3.2', '3.4')",C57
54,2022-10-04,4,3,4.1vs4.3,Albert,4.1,4.3,4.1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.1,4.3,"('4.1', '4.3')",CD1
55,2022-10-04,4,4,4.2vs4.4,Erika,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,"('4.2', '4.4')",CD1
56,2022-10-04,1,1,1.1vs1.3,Ezra,1.3,1.3,tie,1.3,1.3,1.3,1.3,1.1,tie,tie,1.1,1.3,1.1,1.1,1.3,1.1,1.1,tie,1.3,"('1.1', '1.3')",C57
57,2022-10-04,1,2,1.2vs1.4,Naeliz,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,"('1.2', '1.4')",C57
58,2022-10-04,2,3,2.1vs2.3,Leo,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.3,2.1,tie,2.1,2.1,2.1,tie,2.1,2.1,2.1,2.1,tie,"('2.1', '2.3')",C57
59,2022-10-04,2,4,2.2v2.4,Albert,2.4,2.4,2.4,2.2,2.4,2.2,2.4,2.4,2.4,2.2,2.4,tie,tie,2.4,2.2,2.2,2.4,2.4,2.4,"('2.2', '2.4')",C57
60,2022-10-04,6,1,6.3vs6.4,Jocelyn,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.3,6.3,6.3,6.3,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.3,"('6.3', '6.4')",CD1
61,2022-10-04,6,2,6.1vs6.2,Naeliz,6.2,6.1,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.2,"('6.1', '6.2')",CD1
62,2022-10-04,5,3,5.3vs5.4,Aidan,tie,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,"('5.3', '5.4')",CD1
63,2022-10-04,5,4,5.1vs5.2,Ezra,5.2,5.2,5.2,5.2,5.2,5.2,5.2,tie,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,"('5.1', '5.2')",CD1
64,2022-10-04,4,1,4.3vs4.4,Aidan,4.3,4.4,4.4,4.4,4.4,tie,4.3,tie,tie,tie,tie,4.4,tie,4.4,4.4,4.4,4.4,4.4,4.4,"('4.3', '4.4')",CD1
65,2022-10-04,4,2,4.1vs4.2,Erika,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,"('4.1', '4.2')",CD1
66,2022-10-04,3,3,3.3vs3.4,Aidan,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,tie,3.3,3.4,3.4,3.3,3.4,3.3,3.4,3.3,3.3,"('3.3', '3.4')",C57
67,2022-10-04,3,4,3.1vs3.2,Leo,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.2,tie,3.2,3.2,3.2,tie,3.2,3.2,3.2,3.2,3.1,"('3.1', '3.2')",C57
68,2022-10-04,2,1,2.3vs2.4,Aidan,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.3,2.3,2.3,2.3,tie,"('2.3', '2.4')",C57
69,2022-10-04,2,2,2.1vs2.2,Albert,2.2,2.2,2.2,tie ,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,tie,2.2,2.2,2.2,2.2,2.2,2.2,"('2.1', '2.2')",C57
70,2022-10-04,1,3,1.3vs1.4,Aidan,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.3,tie,1.3,1.3,1.3,tie,tie,1.3,"('1.3', '1.4')",C57
71,2022-10-04,1,4,1.1vs1.2,Albert,1.1,1.1,1.1,1.1,1.1,tie,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,"('1.1', '1.2')",C57
